precision,recall,f1-score,support,accuracy,roc,category,class,model_name
0.7468354430379747,0.09320695102685624,0.16573033707865167,1266,,,related,0,adaBoost_cv
0.7674739121874384,0.9898425596749619,0.8645891094599091,3938,,,related,1,adaBoost_cv
0.7620856913904723,0.7667810831426392,0.6908995343425948,5244,0.7667810831426392,,related,weighted avg,adaBoost_cv
0.9003188097768332,0.9740170154058404,0.9357190192180252,4349,,,request,0,adaBoost_cv
0.7903525046382189,0.4759776536312849,0.5941422594142259,895,,,request,1,adaBoost_cv
0.881550723754892,0.8890160183066361,0.8774216889311449,5244,0.8890160183066361,0.7249973345185626,request,weighted avg,adaBoost_cv
0.9950400610454025,0.9996167113836719,0.9973231357552582,5218,,,offer,0,adaBoost_cv
0.0,0.0,0.0,26,,,offer,1,adaBoost_cv
0.9901066053651622,0.9946605644546148,0.9923783604826348,5244,0.9946605644546148,0.49980835569183596,offer,weighted avg,adaBoost_cv
0.7592184920198128,0.8862833279794411,0.8178449681339854,3113,,,aid_related,0,adaBoost_cv
0.7801242236024845,0.5893946503988737,0.6714782143811815,2131,,,aid_related,1,adaBoost_cv
0.7677139371004141,0.7656369183829138,0.7583660298717381,5244,0.7656369183829138,0.7378389891891575,aid_related,weighted avg,adaBoost_cv
0.9363082366817378,0.9877644131065948,0.9613482692501765,4822,,,medical_help,0,adaBoost_cv
0.6242038216560509,0.23222748815165878,0.33851468048359246,422,,,medical_help,1,adaBoost_cv
0.9111922826121651,0.9269641495041953,0.9112270307948946,5244,0.9269641495041953,0.6099959506291268,medical_help,weighted avg,adaBoost_cv
0.9613141524105754,0.9941696823482107,0.9774659023522434,4974,,,medical_products,0,adaBoost_cv
0.71,0.26296296296296295,0.38378378378378375,270,,,medical_products,1,adaBoost_cv
0.9483746365541956,0.9565217391304348,0.9468987452177118,5244,0.9565217391304348,0.6285663226555869,medical_products,weighted avg,adaBoost_cv
0.9794665131452697,0.9974594488958374,0.9883810999225406,5117,,,search_and_rescue,0,adaBoost_cv
0.6060606060606061,0.15748031496062992,0.24999999999999997,127,,,search_and_rescue,1,adaBoost_cv
0.9704233113527921,0.977116704805492,0.9704988726742259,5244,0.977116704805492,0.5774698819282337,search_and_rescue,weighted avg,adaBoost_cv
0.9835846535598397,0.9994181536074477,0.9914381914381915,5156,,,security,0,adaBoost_cv
0.4,0.022727272727272728,0.043010752688172046,88,,,security,1,adaBoost_cv
0.9737914709676837,0.9830282227307399,0.9755225517337671,5244,0.9830282227307399,0.5110727131673601,security,weighted avg,adaBoost_cv
0.9781642512077294,0.9946944389860484,0.9863600935307874,5089,,,military,0,adaBoost_cv
0.6086956521739131,0.2709677419354839,0.37500000000000006,155,,,military,1,adaBoost_cv
0.9672436499777063,0.973302822273074,0.9682897627723449,5244,0.973302822273074,0.6328310904607661,military,weighted avg,adaBoost_cv
1.0,1.0,1.0,5244,,,child_alone,0,adaBoost_cv
1.0,1.0,1.0,5244,1.0,,child_alone,weighted avg,adaBoost_cv
0.9765703898202384,0.9857288481141692,0.9811282467532467,4905,,,water,0,adaBoost_cv
0.7610921501706485,0.6578171091445427,0.7056962025316454,339,,,water,1,adaBoost_cv
0.9626407324515864,0.9645308924485125,0.9633228571668389,5244,0.9645308924485125,0.8217729786293559,water,weighted avg,adaBoost_cv
0.9683651804670913,0.9810711981071198,0.9746767817074474,4649,,,food,0,adaBoost_cv
0.8352059925093633,0.7495798319327731,0.7900797165633304,595,,,food,1,adaBoost_cv
0.9532565388128488,0.9548054919908466,0.9537318439193563,5244,0.9548054919908466,0.8653255150199465,food,weighted avg,adaBoost_cv
0.9570876550742322,0.9857561793045664,0.9712104014033639,4774,,,shelter,0,adaBoost_cv
0.7920489296636085,0.551063829787234,0.6499372647427855,470,,,shelter,1,adaBoost_cv
0.9422958547418536,0.9467963386727689,0.9424158983083082,5244,0.9467963386727689,0.7684100045459002,shelter,weighted avg,adaBoost_cv
0.9919230769230769,0.9974859795010637,0.9946967505544306,5171,,,clothing,0,adaBoost_cv
0.7045454545454546,0.4246575342465753,0.5299145299145299,73,,,clothing,1,adaBoost_cv
0.9879225875192694,0.9895118230358505,0.9882266700611597,5244,0.9895118230358505,0.7110717568738194,clothing,weighted avg,adaBoost_cv
0.985166634559815,0.9949416342412452,0.9900300067757236,5140,,,money,0,adaBoost_cv
0.5094339622641509,0.25961538461538464,0.3439490445859873,104,,,money,1,adaBoost_cv
0.9757318142091763,0.9803585049580473,0.9772168069153627,5244,0.9803585049580473,0.6272785094283149,money,weighted avg,adaBoost_cv
0.9906345565749235,0.9998070987654321,0.995199692780338,5184,,,missing_people,0,adaBoost_cv
0.9166666666666666,0.18333333333333332,0.3055555555555556,60,,,missing_people,1,adaBoost_cv
0.9897882420450808,0.990465293668955,0.9873090275946999,5244,0.990465293668955,0.5915702160493826,missing_people,weighted avg,adaBoost_cv
