precision,recall,f1-score,support,accuracy,roc,category,class,model_name
0.7329286798179059,0.3873295910184443,0.5068205666316894,1247,,,related,0,RandomForest
0.831977127776556,0.9555443293761052,0.8894897719256996,3959,,,related,1,RandomForest
0.80825192328089,0.8194391087207069,0.7978285158746756,5206,0.8194391087207069,0.6714369601972747,related,weighted avg,RandomForest
0.9049773755656108,0.9758364312267658,0.9390721073225264,4304,,,request,0,RandomForest
0.815929203539823,0.5110864745011087,0.6284935241990457,902,,,request,1,RandomForest
0.8895487449149653,0.8953131002689205,0.8852607584985965,5206,0.8953131002689205,0.7434614528639373,request,weighted avg,RandomForest
0.995197848636189,1.0,0.997593145277751,5181,,,offer,0,RandomForest
0.0,0.0,0.0,25,,,offer,1,RandomForest
0.9904187579300988,0.995197848636189,0.9928025519946267,5206,0.995197848636189,0.5,offer,weighted avg,RandomForest
0.8030911901081916,0.8518032786885246,0.8267303102625297,3050,,,aid_related,0,RandomForest
0.7706747843734145,0.7045454545454546,0.7361279379694694,2156,,,aid_related,1,RandomForest
0.789666339788526,0.7908182865923934,0.7892084672614083,5206,0.7908182865923934,0.7781743666169896,aid_related,weighted avg,RandomForest
0.9233456239084028,0.9964397905759164,0.9585012087026592,4775,,,medical_help,0,RandomForest
0.6792452830188679,0.0835266821345707,0.1487603305785124,431,,,medical_help,1,RandomForest
0.9031367789365649,0.9208605455243948,0.8914634986620318,5206,0.9208605455243948,0.5399832363552435,medical_help,weighted avg,RandomForest
0.9538253477588872,0.9989882638607852,0.9758845621664362,4942,,,medical_products,0,RandomForest
0.8333333333333334,0.0946969696969697,0.1700680272108843,264,,,medical_products,1,RandomForest
0.947715111145682,0.9531310026892048,0.9350210267787552,5206,0.9531310026892048,0.5468426167788775,medical_products,weighted avg,RandomForest
0.9722917067538964,0.9996043521266074,0.9857588763168162,5055,,,search_and_rescue,0,RandomForest
0.7777777777777778,0.0463576158940397,0.0875,151,,,search_and_rescue,1,RandomForest
0.9666498313648466,0.9719554360353438,0.959704882785537,5206,0.9719554360353438,0.5229809840103236,search_and_rescue,weighted avg,RandomForest
0.9796349663784822,0.9998039215686274,0.9896166909267344,5100,,,security,0,RandomForest
0.0,0.0,0.0,106,,,security,1,RandomForest
0.9596884995255972,0.979446792162889,0.9694669849647226,5206,0.979446792162889,0.4999019607843137,security,weighted avg,RandomForest
0.968599499133115,0.9994036970781156,0.983760516532968,5031,,,military,0,RandomForest
0.8,0.0685714285714285,0.1263157894736842,175,,,military,1,RandomForest
0.9629320169302156,0.968113714944295,0.9549374609748862,5206,0.968113714944295,0.5339875628247721,military,weighted avg,RandomForest
1.0,1.0,1.0,5206,,,child_alone,0,RandomForest
1.0,1.0,1.0,5206,1.0,,child_alone,weighted avg,RandomForest
0.9569340181746344,0.9962978198272316,0.9762192664248286,4862,,,water,0,RandomForest
0.875,0.3662790697674418,0.5163934426229507,344,,,water,1,RandomForest
0.9515200146686656,0.9546676911256244,0.9458350782980812,5206,0.9546676911256244,0.6812884447973367,water,weighted avg,RandomForest
0.9550420168067228,0.983982683982684,0.9692963752665246,4620,,,food,0,RandomForest
0.8340807174887892,0.6348122866894198,0.7209302325581396,586,,,food,1,RandomForest
0.9414263192653648,0.9446792162888974,0.9413396792182892,5206,0.9446792162888974,0.8093974853360519,food,weighted avg,RandomForest
0.9409163987138264,0.9921593557957196,0.9658586900464156,4719,,,shelter,0,RandomForest
0.8391304347826087,0.3963039014373716,0.5383542538354253,487,,,shelter,1,RandomForest
0.9313947382385088,0.9364195159431424,0.9258673991446192,5206,0.9364195159431424,0.6942316286165455,shelter,weighted avg,RandomForest
0.9867103235747304,0.9992198166569144,0.99292567109216,5127,,,clothing,0,RandomForest
0.7142857142857143,0.1265822784810126,0.2150537634408602,79,,,clothing,1,RandomForest
0.9825763350741862,0.985977718017672,0.9811216217828148,5206,0.985977718017672,0.5629010475689635,clothing,weighted avg,RandomForest
0.9761400808158552,0.9996059113300492,0.9877336448598132,5075,,,money,0,RandomForest
0.7777777777777778,0.0534351145038167,0.0999999999999999,131,,,money,1,RandomForest
0.9711486360025652,0.9757971571263926,0.9653953606729836,5206,0.9757971571263926,0.526520512916933,money,weighted avg,RandomForest
0.989433237271854,0.9998058629392352,0.9945925067593664,5151,,,missing_people,0,RandomForest
0.0,0.0,0.0,55,,,missing_people,1,RandomForest
0.978980139298371,0.9892431809450634,0.984084902481271,5206,0.9892431809450634,0.4999029314696175,missing_people,weighted avg,RandomForest
0.9711038335580812,0.9990091161315894,0.9848588453648528,5046,,,refugees,0,RandomForest
0.6666666666666666,0.0625,0.1142857142857142,160,,,refugees,1,RandomForest
0.9617473320785144,0.970226661544372,0.9581028520931162,5206,0.970226661544372,0.5307545580657947,refugees,weighted avg,RandomForest
0.9617095339392768,0.99839389680787,0.9797084318360916,4981,,,death,0,RandomForest
0.7714285714285715,0.12,0.2076923076923076,225,,,death,1,RandomForest
0.9534857120866242,0.9604302727621976,0.9463423872851212,5206,0.9604302727621976,0.559196948403935,death,weighted avg,RandomForest
0.8759194734804491,0.9969156201806564,0.9325090159711488,4539,,,other_aid,0,RandomForest
0.65,0.0389805097451274,0.0735502121640735,667,,,other_aid,1,RandomForest
0.8469743546153973,0.8741836342681522,0.8224580128710107,5206,0.8741836342681522,0.5179480649628919,other_aid,weighted avg,RandomForest
0.9390970220941404,0.9997954591941092,0.9684961363186052,4889,,,infrastructure_related,0,RandomForest
0.0,0.0,0.0,317,,,infrastructure_related,1,RandomForest
0.8819142030384656,0.9389166346523242,0.909523167587718,5206,0.9389166346523242,0.4998977295970546,infrastructure_related,weighted avg,RandomForest
0.9605720912253576,0.9983929288871032,0.979117415287628,4978,,,transport,0,RandomForest
0.75,0.1052631578947368,0.1846153846153846,228,,,transport,1,RandomForest
0.9513499558432252,0.9592777564348828,0.9443217059151212,5206,0.9592777564348828,0.55182804339092,transport,weighted avg,RandomForest
0.9544747081712064,0.9981688708036622,0.975832918945798,4915,,,buildings,0,RandomForest
0.8636363636363636,0.1958762886597938,0.3193277310924369,291,,,buildings,1,RandomForest
0.9493971134229084,0.9533230887437572,0.9391362209693616,5206,0.9533230887437572,0.597022579731728,buildings,weighted avg,RandomForest
0.9817237398999616,0.9996082272282076,0.9905852664272542,5105,,,electricity,0,RandomForest
0.75,0.0594059405940594,0.110091743119266,101,,,electricity,1,RandomForest
0.977228139106666,0.9813676527084134,0.9735030832051824,5206,0.9813676527084134,0.5295070839111335,electricity,weighted avg,RandomForest
0.9942374183634268,1.0,0.997110383355808,5176,,,tools,0,RandomForest
0.0,0.0,0.0,30,,,tools,1,RandomForest
0.988508044073972,0.9942374183634268,0.9913644533710456,5206,0.9942374183634268,0.5,tools,weighted avg,RandomForest
0.9905877833269304,1.0,0.9952716394866352,5157,,,hospitals,0,RandomForest
0.0,0.0,0.0,49,,,hospitals,1,RandomForest
