precision,recall,f1-score,support,accuracy,roc,category,class,model_name
0.726790450928382,0.21972734562951082,0.33743842364532023,1247,,,related,0,adaBoost_cv_MLSMOTE
0.7985090080762063,0.973983329123516,0.8775603095129721,3959,,,related,1,adaBoost_cv_MLSMOTE
0.7813301681293494,0.7933154053015751,0.748184206616898,5206,0.7933154053015751,0.5968553373765134,related,weighted avg,adaBoost_cv_MLSMOTE
0.9023235800344234,0.9744423791821561,0.9369973190348525,4304,,,request,0,adaBoost_cv_MLSMOTE
0.8028673835125448,0.49667405764966743,0.6136986301369864,902,,,request,1,adaBoost_cv_MLSMOTE
0.8850916381860303,0.8916634652324241,0.8809820640625368,5206,0.8916634652324241,0.7355582184159117,request,weighted avg,adaBoost_cv_MLSMOTE
0.995196003074558,0.9996139741362672,0.9974000962927299,5181,,,offer,0,adaBoost_cv_MLSMOTE
0.0,0.0,0.0,25,,,offer,1,adaBoost_cv_MLSMOTE
0.9904169212311342,0.9948136765270841,0.9926104300600526,5206,0.9948136765270841,0.4998069870681336,offer,weighted avg,adaBoost_cv_MLSMOTE
0.7672215843857635,0.8763934426229508,0.8181818181818181,3050,,,aid_related,0,adaBoost_cv_MLSMOTE
0.781068524970964,0.6238404452690167,0.6936565239814338,2156,,,aid_related,1,adaBoost_cv_MLSMOTE
0.7729561222078327,0.7718017671917019,0.7666112199689813,5206,0.7718017671917019,0.7501169439459837,aid_related,weighted avg,adaBoost_cv_MLSMOTE
0.9315634218289085,0.9920418848167539,0.9608519269776876,4775,,,medical_help,0,adaBoost_cv_MLSMOTE
0.6859504132231405,0.1925754060324826,0.3007246376811595,431,,,medical_help,1,adaBoost_cv_MLSMOTE
0.911229344474109,0.9258547829427584,0.9062005897347366,5206,0.9258547829427584,0.5923086454246184,medical_help,weighted avg,adaBoost_cv_MLSMOTE
0.9624119028974158,0.9947389720760825,0.9783084577114427,4942,,,medical_products,0,adaBoost_cv_MLSMOTE
0.7346938775510204,0.2727272727272727,0.3977900552486187,264,,,medical_products,1,adaBoost_cv_MLSMOTE
0.9508641582390507,0.9581252401075682,0.9488699524770622,5206,0.9581252401075682,0.6337331224016776,medical_products,weighted avg,adaBoost_cv_MLSMOTE
0.973395026026605,0.998813056379822,0.9859402460456942,5055,,,search_and_rescue,0,adaBoost_cv_MLSMOTE
0.6842105263157895,0.08609271523178808,0.15294117647058825,151,,,search_and_rescue,1,adaBoost_cv_MLSMOTE
0.9650072312789421,0.9723396081444488,0.9617791128328933,5206,0.9723396081444488,0.5424528858058051,search_and_rescue,weighted avg,adaBoost_cv_MLSMOTE
0.9800115318085719,0.9998039215686274,0.9898087935552752,5100,,,security,0,adaBoost_cv_MLSMOTE
0.6666666666666666,0.018867924528301886,0.03669724770642202,106,,,security,1,adaBoost_cv_MLSMOTE
0.9736314788494782,0.9798309642719939,0.970402373297884,5206,0.9798309642719939,0.5093359230484646,security,weighted avg,adaBoost_cv_MLSMOTE
0.9743589743589743,0.9970184853905785,0.9855585027998821,5031,,,military,0,adaBoost_cv_MLSMOTE
0.7413793103448276,0.24571428571428572,0.3690987124463519,175,,,military,1,adaBoost_cv_MLSMOTE
0.9665273490799741,0.9717633499807914,0.9648361702390161,5206,0.9717633499807914,0.6213663855524322,military,weighted avg,adaBoost_cv_MLSMOTE
1.0,1.0,1.0,5206,,,child_alone,0,adaBoost_cv_MLSMOTE
1.0,1.0,1.0,5206,1.0,,child_alone,weighted avg,adaBoost_cv_MLSMOTE
0.9715496368038741,0.9903331962155492,0.980851497249949,4862,,,water,0,adaBoost_cv_MLSMOTE
0.812,0.5901162790697675,0.6835016835016835,344,,,water,1,adaBoost_cv_MLSMOTE
0.9610069792816819,0.9638878217441413,0.9612033343745353,5206,0.9638878217441413,0.7902247376426582,water,weighted avg,adaBoost_cv_MLSMOTE
0.9693105684028528,0.9707792207792207,0.9700443387044447,4620,,,food,0,adaBoost_cv_MLSMOTE
0.7668393782383419,0.757679180887372,0.7622317596566524,586,,,food,1,adaBoost_cv_MLSMOTE
0.9465199196444195,0.9467921628889743,0.9466524502445894,5206,0.9467921628889743,0.8642292008332964,food,weighted avg,adaBoost_cv_MLSMOTE
0.954573357888275,0.9885568976478067,0.9712679575265459,4719,,,shelter,0,adaBoost_cv_MLSMOTE
0.8307210031347962,0.5441478439425051,0.6575682382133995,487,,,shelter,1,adaBoost_cv_MLSMOTE
0.9429874768346937,0.9469842489435267,0.9419226322661729,5206,0.9469842489435267,0.766352370795156,shelter,weighted avg,adaBoost_cv_MLSMOTE
0.9920480993017843,0.9976594499707431,0.9948458621024991,5127,,,clothing,0,adaBoost_cv_MLSMOTE
0.76,0.4810126582278481,0.5891472868217054,79,,,clothing,1,adaBoost_cv_MLSMOTE
0.9885268161967437,0.9898194391087207,0.9886894680481039,5206,0.9898194391087207,0.7393360540992955,clothing,weighted avg,adaBoost_cv_MLSMOTE
0.9790940766550522,0.9966502463054188,0.9877941607264916,5075,,,money,0,adaBoost_cv_MLSMOTE
0.575,0.17557251908396945,0.26900584795321636,131,,,money,1,adaBoost_cv_MLSMOTE
0.9689257470273511,0.975989243180945,0.9697070940777597,5206,0.975989243180945,0.5861113826946941,money,weighted avg,adaBoost_cv_MLSMOTE
0.990379064845103,0.9992234517569404,0.9947816003092385,5151,,,missing_people,0,adaBoost_cv_MLSMOTE
0.5555555555555556,0.09090909090909091,0.15625,55,,,missing_people,1,adaBoost_cv_MLSMOTE
0.9857852705671688,0.9896273530541683,0.9859227378395864,5206,0.9896273530541683,0.5450662713330157,missing_people,weighted avg,adaBoost_cv_MLSMOTE
0.9751697381183317,0.9962346413000396,0.9855896480737183,5046,,,refugees,0,adaBoost_cv_MLSMOTE
0.6274509803921569,0.2,0.3033175355450237,160,,,refugees,1,adaBoost_cv_MLSMOTE
0.9644830302358521,0.9717633499807914,0.9646208547574312,5206,0.9717633499807914,0.5981173206500198,refugees,weighted avg,adaBoost_cv_MLSMOTE
0.9763173475429248,0.9931740614334471,0.9846735668789809,4981,,,death,0,adaBoost_cv_MLSMOTE
0.7553956834532374,0.4666666666666667,0.576923076923077,225,,,death,1,adaBoost_cv_MLSMOTE
0.9667692541083915,0.9704187475989243,0.9670508507360538,5206,0.9704187475989243,0.729920364050057,death,weighted avg,adaBoost_cv_MLSMOTE
0.8809010773751225,0.9907468605419696,0.9326005806719204,4539,,,other_aid,0,adaBoost_cv_MLSMOTE
0.5841584158415841,0.08845577211394302,0.15364583333333331,667,,,other_aid,1,adaBoost_cv_MLSMOTE
0.8428819926185204,0.8751440645409143,0.8327998091631157,5206,0.8751440645409143,0.5396013163279563,other_aid,weighted avg,adaBoost_cv_MLSMOTE
0.9420625724217845,0.9977500511352014,0.9691069832124763,4889,,,infrastructure_related,0,adaBoost_cv_MLSMOTE
0.6071428571428571,0.05362776025236593,0.09855072463768115,317,,,infrastructure_related,1,adaBoost_cv_MLSMOTE
0.9216688824979619,0.9402612370341913,0.9160976989312221,5206,0.9402612370341913,0.5256889056937837,infrastructure_related,weighted avg,adaBoost_cv_MLSMOTE
0.9642510200116573,0.9969867416633186,0.9803456790123457,4978,,,transport,0,adaBoost_cv_MLSMOTE
0.7457627118644068,0.19298245614035087,0.3066202090592335,228,,,transport,1,adaBoost_cv_MLSMOTE
0.9546821889979091,0.9617748751440646,0.9508394540508955,5206,0.9617748751440646,0.5949845989018347,transport,weighted avg,adaBoost_cv_MLSMOTE
0.9621376454348255,0.992675483214649,0.9771680352493491,4915,,,buildings,0,adaBoost_cv_MLSMOTE
0.7333333333333333,0.3402061855670103,0.46478873239436624,291,,,buildings,1,adaBoost_cv_MLSMOTE
0.9493481612201626,0.9562043795620438,0.948527547901904,5206,0.9562043795620438,0.6664408343908298,buildings,weighted avg,adaBoost_cv_MLSMOTE
0.9849217088729944,0.9980411361410382,0.9914380229616656,5105,,,electricity,0,adaBoost_cv_MLSMOTE
0.696969696969697,0.22772277227722773,0.34328358208955223,101,,,electricity,1,adaBoost_cv_MLSMOTE
0.9793352407204332,0.9830964271993853,0.9788633786036012,5206,0.9830964271993853,0.6128819542091329,electricity,weighted avg,adaBoost_cv_MLSMOTE
0.9942363112391931,0.999806800618238,0.997013775166169,5176,,,tools,0,adaBoost_cv_MLSMOTE
0.0,0.0,0.0,30,,,tools,1,adaBoost_cv_MLSMOTE
0.9885069433296318,0.9940453323088744,0.9912684018939858,5206,0.9940453323088744,0.499903400309119,tools,weighted avg,adaBoost_cv_MLSMOTE
0.9907763259031515,0.9998060888113244,0.9952707267638259,5157,,,hospitals,0,adaBoost_cv_MLSMOTE
0.5,0.02040816326530612,0.039215686274509796,49,,,hospitals,1,adaBoost_cv_MLSMOTE
0.986157032785738,0.9905877833269304,0.9862721295713601,5206,0.9905877833269304,0.5101071260383152,hospitals,weighted avg,adaBoost_cv_MLSMOTE
0.9955786236063052,0.9992282461894656,0.9974000962927299,5183,,,shops,0,adaBoost_cv_MLSMOTE
0.0,0.0,0.0,23,,,shops,1,adaBoost_cv_MLSMOTE
0.9911801779007837,0.9948136765270841,0.9929936033586668,5206,0.9948136765270841,0.4996141230947328,shops,weighted avg,adaBoost_cv_MLSMOTE
0.9896213722852201,0.9998058252427184,0.9946875301844875,5150,,,aid_centers,0,adaBoost_cv_MLSMOTE
0.6666666666666666,0.03571428571428571,0.06779661016949153,56,,,aid_centers,1,adaBoost_cv_MLSMOTE
0.9861474069539409,0.9894352669996158,0.9847171322742225,5206,0.9894352669996158,0.5177600554785021,aid_centers,weighted avg,adaBoost_cv_MLSMOTE
0.9599383667180277,0.9987975951903808,0.9789825181693185,4990,,,other_infrastructure,0,adaBoost_cv_MLSMOTE
0.5714285714285714,0.037037037037037035,0.06956521739130435,216,,,other_infrastructure,1,adaBoost_cv_MLSMOTE
0.9438188669518881,0.958893584325778,0.941250259819712,5206,0.958893584325778,0.517917316113709,other_infrastructure,weighted avg,adaBoost_cv_MLSMOTE
0.8840009830425166,0.9620219309975929,0.9213627049180328,3739,,,weather_related,0,adaBoost_cv_MLSMOTE
0.8751099384344767,0.678254942058623,0.7642089093701997,1467,,,weather_related,1,adaBoost_cv_MLSMOTE
0.8814955734305316,0.8820591625048021,0.8770782988349226,5206,0.8820591625048021,0.820138436528108,weather_related,weighted avg,adaBoost_cv_MLSMOTE
0.9663354289190833,0.9943656093489148,0.9801501594158182,4792,,,floods,0,adaBoost_cv_MLSMOTE
0.9018181818181819,0.5990338164251208,0.7198838896952104,414,,,floods,1,adaBoost_cv_MLSMOTE
0.9612047834523578,0.9629273914713792,0.9594528417699613,5206,0.9629273914713792,0.7966997128870178,floods,weighted avg,adaBoost_cv_MLSMOTE
0.9569825436408977,0.9818763326226013,0.9692696274468533,4690,,,storm,0,adaBoost_cv_MLSMOTE
