precision,recall,f1-score,support,accuracy,roc,category,class,model_name
0.7262872628726287,0.214915797914996,0.33168316831683164,1247,,,related,0,adaBoost_cv_MLSMOTE_scoringF1
0.7976018193094894,0.9744885071987875,0.8772169167803547,3959,,,related,1,adaBoost_cv_MLSMOTE_scoringF1
0.7805197501821814,0.7925470610833654,0.7465445033470061,5206,0.7925470610833654,0.5947021525568917,related,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9009625668449198,0.9786245353159851,0.9381891079184765,4304,,,request,0,adaBoost_cv_MLSMOTE_scoringF1
0.8267419962335216,0.4866962305986696,0.6127006280530355,902,,,request,1,adaBoost_cv_MLSMOTE_scoringF1
0.8881029904539323,0.8933922397233961,0.8817944462130161,5206,0.8933922397233961,0.7326603829573275,request,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9951969260326609,0.9998069870681335,0.9974966300789524,5181,,,offer,0,adaBoost_cv_MLSMOTE_scoringF1
0.0,0.0,0.0,25,,,offer,1,adaBoost_cv_MLSMOTE_scoringF1
0.9904178397570527,0.9950057625816365,0.9927065002764219,5206,0.9950057625816365,0.49990349353406677,offer,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.7694558221181977,0.8622950819672132,0.8132343846629562,3050,,,aid_related,0,adaBoost_cv_MLSMOTE_scoringF1
0.7651006711409396,0.634508348794063,0.6937119675456389,2156,,,aid_related,1,adaBoost_cv_MLSMOTE_scoringF1
0.7676521906339548,0.767960046100653,0.76373566562628,5206,0.767960046100653,0.748401715380638,aid_related,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9323738170347003,0.9903664921465969,0.9604955824108866,4775,,,medical_help,0,adaBoost_cv_MLSMOTE_scoringF1
0.6567164179104478,0.20417633410672853,0.31150442477876106,431,,,medical_help,1,adaBoost_cv_MLSMOTE_scoringF1
0.9095523919439295,0.925278524779101,0.9067661953691182,5206,0.925278524779101,0.5972714131266627,medical_help,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9635294117647059,0.9943342776203966,0.978689504082852,4942,,,medical_products,0,adaBoost_cv_MLSMOTE_scoringF1
0.7358490566037735,0.29545454545454547,0.4216216216216216,264,,,medical_products,1,adaBoost_cv_MLSMOTE_scoringF1
0.951983577388508,0.958893584325778,0.9504401915646491,5206,0.958893584325778,0.644894411537471,medical_products,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9735776277724204,0.9986152324431257,0.9859375,5055,,,search_and_rescue,0,adaBoost_cv_MLSMOTE_scoringF1
0.6666666666666666,0.09271523178807947,0.1627906976744186,151,,,search_and_rescue,1,adaBoost_cv_MLSMOTE_scoringF1
0.9646756771141475,0.9723396081444488,0.9620621317419971,5206,0.9723396081444488,0.5456652321156026,search_and_rescue,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9798232129131438,0.9998039215686274,0.9897127329192547,5100,,,security,0,adaBoost_cv_MLSMOTE_scoringF1
0.5,0.009433962264150943,0.018518518518518517,106,,,security,1,adaBoost_cv_MLSMOTE_scoringF1
0.9700534740409208,0.9796388782174414,0.9699381292453249,5206,0.9796388782174414,0.5046189419163892,security,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9735768408781814,0.9960246471874379,0.9846728237374729,5031,,,military,0,adaBoost_cv_MLSMOTE_scoringF1
0.6610169491525424,0.22285714285714286,0.33333333333333337,175,,,military,1,adaBoost_cv_MLSMOTE_scoringF1
0.9630701215059212,0.9700345754898194,0.9627780079824356,5206,0.9700345754898194,0.6094408950222904,military,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
1.0,1.0,1.0,5206,,,child_alone,0,adaBoost_cv_MLSMOTE_scoringF1
1.0,1.0,1.0,5206,1.0,,child_alone,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9720986655883542,0.9888934594816948,0.9804241435562807,4862,,,water,0,adaBoost_cv_MLSMOTE_scoringF1
0.7923076923076923,0.5988372093023255,0.6821192052980132,344,,,water,1,adaBoost_cv_MLSMOTE_scoringF1
0.9602185090749951,0.9631194775259316,0.960712868342903,5206,0.9631194775259316,0.7938653343920102,water,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9701169337375487,0.9696969696969697,0.9699069062567656,4620,,,food,0,adaBoost_cv_MLSMOTE_scoringF1
0.7619047619047619,0.764505119453925,0.7632027257240204,586,,,food,1,adaBoost_cv_MLSMOTE_scoringF1
0.9466800661436162,0.9466000768344218,0.9466397818249199,5206,0.9466000768344218,0.8671010445754473,food,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9542390194075587,0.9898283534647171,0.9717079259413356,4719,,,shelter,0,adaBoost_cv_MLSMOTE_scoringF1
0.8456591639871383,0.5400410677618069,0.6591478696741854,487,,,shelter,1,adaBoost_cv_MLSMOTE_scoringF1
0.9440818181801777,0.9477525931617364,0.9424692114960606,5206,0.9477525931617364,0.764934710613262,shelter,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9914679076982742,0.9972693582992003,0.9943601711396344,5127,,,clothing,0,adaBoost_cv_MLSMOTE_scoringF1
0.7142857142857143,0.4430379746835443,0.5468749999999999,79,,,clothing,1,adaBoost_cv_MLSMOTE_scoringF1
0.9872617238182142,0.9888590088359586,0.9875696739210346,5206,0.9888590088359586,0.7201536664913722,clothing,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9798410544679201,0.9960591133004926,0.9878835255032246,5075,,,money,0,adaBoost_cv_MLSMOTE_scoringF1
0.574468085106383,0.20610687022900764,0.30337078651685395,131,,,money,1,adaBoost_cv_MLSMOTE_scoringF1
0.9696405437137209,0.9761813292354975,0.9706589444799409,5206,0.9761813292354975,0.60108299176475,money,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9905751105981919,0.9998058629392351,0.9951690821256037,5151,,,missing_people,0,adaBoost_cv_MLSMOTE_scoringF1
0.8571428571428571,0.10909090909090909,0.19354838709677416,55,,,missing_people,1,adaBoost_cv_MLSMOTE_scoringF1
0.9891654344667967,0.990395697272378,0.9867001735150419,5206,0.990395697272378,0.5544483860150722,missing_people,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.976116504854369,0.9962346413000396,0.9860729697920753,5046,,,refugees,0,adaBoost_cv_MLSMOTE_scoringF1
0.6607142857142857,0.23125,0.34259259259259256,160,,,refugees,1,adaBoost_cv_MLSMOTE_scoringF1
0.9664230059948965,0.9727237802535535,0.9662963926979691,5206,0.9727237802535535,0.6137423206500198,refugees,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9727504410899823,0.9961855049186911,0.9843285062487602,4981,,,death,0,adaBoost_cv_MLSMOTE_scoringF1
0.819047619047619,0.38222222222222224,0.5212121212121212,225,,,death,1,adaBoost_cv_MLSMOTE_scoringF1
0.9661075031415515,0.9696504033807145,0.964312911428698,5206,0.9696504033807145,0.6892038635704566,death,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.8804305283757339,0.9911874862304473,0.9325318685874184,4539,,,other_aid,0,adaBoost_cv_MLSMOTE_scoringF1
0.5833333333333334,0.08395802098950525,0.14678899082568808,667,,,other_aid,1,adaBoost_cv_MLSMOTE_scoringF1
0.8423660202902016,0.8749519784863619,0.8318613923163708,5206,0.8749519784863619,0.5375727536099763,other_aid,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9420513811087502,0.9975455103293107,0.9690045698390621,4889,,,infrastructure_related,0,adaBoost_cv_MLSMOTE_scoringF1
0.5862068965517241,0.05362776025236593,0.09826589595375722,317,,,infrastructure_related,1,adaBoost_cv_MLSMOTE_scoringF1
0.920383555214671,0.9400691509796388,0.9159841780561881,5206,0.9400691509796388,0.5255866352908384,infrastructure_related,weighted avg,adaBoost_cv_MLSMOTE_scoringF1
0.9638905066977286,0.9973885094415428,0.9803534406160528,4978,,,transport,0,adaBoost_cv_MLSMOTE_scoringF1
0.7636363636363637,0.18421052631578946,0.2968197879858657,228,,,transport,1,adaBoost_cv_MLSMOTE_scoringF1
